state,x,y
Alabama,470,315
Alaska,130,410
Arizona,140, 275
Arkansas,390,285
California,10,200
Colorado,215,215
Connecticut,610,140
Delaware,630,190
Florida,560,390
Georgia,520,310
Hawaii,35,380
Idaho,135,120
Illinois,435,200
Indiana,475,190
Iowa,390,165
Kansas,320,223
Kentucky,480,230
Louisiana,385,345
Maine,670,70
Maryland,612,195
Massachusetts,627,124
Michigan,480,130
Minnesota,350, 80
Mississippi,420,320
Missouri,385,220
Montana,185,75
Nebraska,300,180
Nevada,85,180
New Hampshire,615,90
New Jersey,640,174
New Mexico,195,285
New York,580,130
North Carolina,575,250
North Dakota,270,75
Ohio,525,185
Oklahoma,325,275
Oregon,55,100
Pennsylvania,570,165
Rhode Island,665,135
South Carolina,565,290
South Dakota,270,120
Tennessee,465,265
Texas,310,350
Utah,160,200
Vermont,615,104
Virginia,585,220
Washington,57,40
West Virginia,540,200
Wisconsin,400,115
Wyoming,208,140